emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
126,126,127,127,126,127,127,128,174,89,247,127,127,127,136,120,127
126,126,127,127,126,127,127,128,174,89,247,127,127,127,136,120,127
126,126,126,127,126,128,128,128,174,89,247,127,127,127,136,120,127
126,126,126,127,126,128,128,129,174,89,247,127,127,127,136,120,127
125,126,127,126,127,128,128,128,174,89,247,127,127,127,136,120,127
125,126,127,126,126,128,128,129,174,89,247,127,127,127,136,120,127
125,126,127,126,126,128,128,129,174,89,247,127,127,127,136,120,127
125,126,127,126,126,129,129,129,174,89,247,127,127,127,136,120,127
125,126,127,126,126,129,129,129,174,89,247,127,127,127,136,120,127
125,126,127,126,126,129,129,129,174,89,247,127,127,127,136,120,127
125,127,127,127,127,127,127,128,174,89,247,127,127,127,136,120,127
126,127,127,127,127,128,128,128,174,89,247,127,127,127,136,120,127
126,127,127,126,127,128,128,128,174,89,247,127,127,127,136,120,127
125,127,127,126,127,128,128,128,174,89,247,127,127,127,136,120,127
127,126,127,126,127,129,128,129,174,89,247,127,127,127,136,120,127
127,126,126,126,127,130,128,129,174,89,247,127,127,127,136,120,127
127,126,126,126,127,130,128,129,174,89,247,127,127,127,136,120,127
127,126,126,126,127,129,128,129,174,89,247,127,127,127,136,120,127
127,126,126,126,127,130,128,129,174,89,247,127,127,127,136,120,127
127,127,127,127,127,128,127,128,174,89,247,127,127,127,136,120,127
127,127,127,127,127,128,127,128,174,89,247,127,127,127,136,120,127
127,127,127,127,127,128,127,128,174,89,247,127,127,127,136,120,127
127,126,127,127,127,128,127,128,174,89,247,127,127,127,136,120,127
127,126,127,126,127,129,128,129,174,89,247,127,127,127,136,120,127
126,126,127,126,126,129,128,128,173,89,247,127,127,127,136,120,127
126,126,127,126,126,129,128,129,173,89,247,127,127,127,136,120,127
125,126,127,126,126,129,128,129,173,89,247,127,127,127,136,120,127
125,126,127,126,126,129,128,129,173,89,247,127,127,127,136,120,127
126,126,128,126,126,128,127,128,173,89,247,127,127,127,136,120,127
126,126,127,126,126,128,127,128,173,89,247,127,127,127,136,120,127
126,126,127,126,126,128,127,128,173,89,247,127,127,127,136,120,127
126,126,127,126,126,128,127,128,173,89,247,127,127,127,136,120,127
126,126,127,126,126,129,127,128,173,89,247,127,127,127,136,120,127
126,126,127,126,126,129,128,128,173,89,247,127,127,127,136,120,127
127,126,125,126,126,129,129,129,173,89,246,127,127,127,136,120,127
127,126,125,126,126,129,129,129,173,89,246,127,127,127,136,120,127
127,126,125,126,126,129,129,129,173,89,246,127,127,127,136,120,127
127,127,127,127,127,128,127,128,173,89,246,127,127,127,136,120,127
127,127,127,127,127,128,127,128,173,89,246,127,127,127,136,120,127
127,127,127,127,127,128,127,128,173,89,246,127,127,127,136,120,127
128,127,126,127,127,128,128,128,173,89,246,127,127,127,136,120,127
128,127,126,127,127,128,128,128,173,89,246,127,127,127,136,120,127
128,127,126,127,127,129,128,129,173,89,246,127,127,127,136,120,127
128,126,126,126,126,129,128,129,173,89,246,127,127,127,136,120,127
127,126,126,126,127,129,128,129,174,89,246,127,127,127,136,120,127
127,126,126,126,127,130,128,129,174,89,246,127,127,127,136,120,127
127,127,127,127,128,128,127,128,174,89,246,127,127,127,136,120,127
127,127,127,127,128,128,127,128,174,89,246,127,127,127,136,120,127
127,127,126,127,128,128,127,128,174,89,246,127,127,127,136,120,127
127,127,126,127,128,128,127,128,174,89,246,127,127,127,136,120,127
127,126,126,127,128,128,127,128,174,89,246,127,127,127,136,120,127
127,126,126,127,127,128,127,128,174,89,246,127,127,127,136,120,127
127,126,126,126,127,128,127,128,174,89,246,127,127,127,136,120,127
127,126,126,126,127,129,128,129,174,89,246,127,127,127,136,120,127
126,126,126,126,126,129,128,129,174,89,246,127,127,127,136,120,127
126,126,127,127,126,127,127,128,174,89,246,127,127,127,136,120,127
126,126,127,127,126,127,127,128,174,89,246,127,127,127,136,120,127
126,126,127,126,126,128,127,128,174,89,246,127,127,127,136,120,127
126,126,127,126,126,128,127,129,174,89,246,127,127,127,136,120,127
126,126,126,126,126,128,128,129,174,89,246,127,127,127,136,120,127
126,126,126,126,126,129,128,129,174,89,246,127,127,127,136,120,127
126,126,126,126,126,129,128,129,174,89,246,127,127,127,136,120,127
126,126,126,126,126,129,128,129,174,89,246,127,127,127,136,120,127
126,126,126,126,126,129,128,129,174,89,246,127,127,127,136,120,127
126,126,126,126,126,127,127,128,174,89,246,127,127,127,136,120,127
126,126,126,126,126,127,127,128,174,89,246,127,127,127,136,120,127
126,126,127,126,126,127,128,129,174,89,246,127,127,127,136,120,127
126,126,127,126,126,128,128,129,174,89,246,127,127,127,136,120,127
126,126,127,126,126,128,128,129,174,89,246,127,127,127,136,120,127
126,126,127,126,126,128,128,129,174,89,246,127,127,127,136,120,127
126,126,127,126,126,128,128,129,174,89,246,127,127,127,136,120,127
126,126,127,126,126,128,128,130,174,89,246,127,127,127,136,120,127
126,126,127,126,126,129,128,129,174,89,246,127,127,127,136,120,127
126,126,127,126,126,129,128,129,174,89,246,127,127,127,136,120,127
127,127,127,127,127,127,127,128,174,89,246,127,127,127,136,120,127
127,127,127,127,126,127,127,128,174,89,246,127,127,127,136,120,127
127,127,127,127,126,128,127,128,174,89,246,127,127,127,136,120,127
127,127,128,127,126,128,127,128,174,89,246,127,127,127,136,120,127
127,127,128,127,126,128,127,128,174,89,246,127,127,127,136,120,127
127,126,128,127,126,128,127,128,174,89,246,127,127,127,136,120,127
127,126,128,126,126,128,128,128,174,89,246,127,127,127,136,120,127
127,126,128,126,126,128,128,128,174,89,246,127,127,127,136,120,127
127,126,128,126,126,128,128,128,174,89,246,127,127,127,136,120,127
127,127,127,127,127,127,127,128,174,89,246,127,127,127,136,120,127
126,126,127,127,128,129,128,129,173,89,246,127,127,127,136,120,127
126,126,127,127,128,129,128,129,173,89,246,127,127,127,136,120,127
126,126,127,127,128,129,128,129,173,89,246,127,127,127,136,120,127
126,126,126,127,128,129,128,129,173,89,246,127,127,127,136,120,127
126,126,126,126,128,130,129,129,173,89,246,127,127,127,136,120,127
126,126,126,126,128,130,129,130,173,89,246,127,127,127,136,120,127
126,126,126,126,128,130,129,130,173,89,246,127,127,127,136,120,127
126,126,126,126,127,130,129,129,173,89,246,127,127,127,136,120,127
127,126,127,127,128,129,128,129,173,89,246,127,127,127,136,120,127
126,126,127,127,128,129,128,129,173,89,246,127,127,127,136,120,127
126,127,126,127,126,127,127,127,173,89,246,127,127,127,136,120,127
126,126,126,126,126,127,127,128,173,89,246,127,127,127,136,120,127
126,126,126,126,126,127,127,128,173,89,246,127,127,127,136,120,127
126,126,126,126,126,127,127,128,173,89,246,127,127,127,136,120,127
126,126,126,126,125,127,127,128,173,89,246,127,127,127,136,120,127
126,126,126,126,125,127,128,129,173,89,246,127,127,127,136,120,127
126,126,126,126,125,127,128,129,173,89,246,127,127,127,136,120,127
126,127,126,127,126,127,127,127,173,89,246,127,127,127,136,120,127
126,127,126,127,126,127,127,127,173,89,246,127,127,127,136,120,127
126,127,126,127,126,127,127,127,173,89,246,127,127,127,136,120,127
